annoaccademico,corso_codice,corso_descrizione,indirizzo_codice,indirizzo_descrizione,orientamento_codice,orientamento_descrizione,curriculum_codice,curriculum_descrizione,curriculum_note,url
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_89,Piano didattico Percorso PFP4 Materiali e manufatti ceramici e vitrei - Materiali e manufatti in metallo e leghe - immatricolati a.a. 2016/2017 e a.a. 2017/2018,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2016/2017 e nell'a.a. 2017/2018,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/89
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_88,Piano didattico Percorso PFP1 Materiali lapidei e derivati; superfici decorate dell'architettura -immatricolati a.a. 2016/2017 e a.a. 2017/2018,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2016/2017 e nell'a.a. 2017/2018,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/88
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_4,Piano didattico Percorso PFP4 Materiali e manufatti ceramici e vitrei - Materiali e manufatti in metallo e leghe-  immatricolati a.a. 2015/2016,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2015/2016.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/4
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_3,Piano didattico Percorso PFP1 Materiali lapidei e derivati; superfici decorate dell'architettura- immatricolati a.a. 2015/2016,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio nell'a.a. 2015/2016.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/3
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_2,Piano didattico Percorso PFP4 Materiali e manufatti ceramici e vitrei - Materiali e manufatti in metallo e leghe- immatricolati aa.aa.2013/2014 e 2014/2015,Il presente Regolamento di corso di studio si applica agli studenti immatricolati al corso di studio negli aa.aa. 2013/2014 e 2014/2015.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/2
2018/2019,8616,Conservazione e restauro dei beni culturali (abilitante ai sensi del d. lgs n. 42,000,,000,,Manifesto-2018_8616_000_000_1,Piano didattico Percorso PFP1 Materiali lapidei e derivati; superfici decorate dell'architettura- immatricolati aa.aa.2013/2014  e 2014/2015,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8616/000/000/1
2018/2019,8617,Medicina veterinaria,000,,000,,Manifesto-2018_8617_000_000_2018,PIANO DIDATTICO LAUREA MAGISTRALE A CICLO UNICO IN MEDICINA VETERINARIA - Matricole A.A. 2018/2019,"Corso di laurea magistrale a ciclo unico progettato ai sensi del D.M. n. 270/2004. Durata legale: 5 anni accademici.
L'immatricolazione a questo corso di studio (a numero programmato su base nazionale) è subordinata al superamento di un apposito test di ammissione ministeriale che si è tenuto il 5 settembre 2018.
Per informazioni in merito a periodi di lezione, vacanze e finestre d'esame, consultare il Calendario didattico del corso di studio disponibile alla pagina https://corsi.unibo.it/magistralecu/MedicinaVeterinaria/calendario-didattico (copiare l'indirizzo all'interno del browser).",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8617/000/000/2018
2018/2019,8617,Medicina veterinaria,000,,000,,Manifesto-2018_8617_000_000_2017,PIANO DIDATTICO LAUREA MAGISTRALE A CICLO UNICO IN MEDICINA VETERINARIA - Matricole A.A. 2017/2018,"Corso di laurea magistrale a ciclo unico progettato ai sensi del D.M. n. 270/2004. Durata legale: 5 anni accademici.
Per informazioni in merito a periodi di lezione, vacanze e finestre d'esame, consultare il Calendario didattico del corso di studio disponibile alla pagina https://corsi.unibo.it/magistralecu/MedicinaVeterinaria/calendario-didattico (copiare l'indirizzo all'interno del browser).",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8617/000/000/2017
2018/2019,8617,Medicina veterinaria,000,,000,,Manifesto-2018_8617_000_000_1,PIANO DIDATTICO LAUREA MAGISTRALE A CICLO UNICO IN MEDICINA VETERINARIA (per immatricolati fino all'A.A. 2016/2017),"Corso di laurea magistrale a ciclo unico progettato ai sensi del D.M. n. 270/2004. Durata legale: 5 anni accademici.
Per informazioni in merito a periodi di lezione, vacanze e finestre d'esame, consultare il Calendario didattico del corso di studio disponibile alla pagina https://corsi.unibo.it/magistralecu/MedicinaVeterinaria/calendario-didattico (copiare l'indirizzo all'interno del browser).",http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8617/000/000/1
2018/2019,8626,Fisica del sistema terra,000,,000,,Manifesto-2018_8626_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8626/000/000/2018
2018/2019,8626,Fisica del sistema terra,000,,000,,Manifesto-2018_8626_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8626/000/000/2017
2018/2019,8766,Scienze delle attivita' motorie e sportive,000,,000,,Manifesto-2018_8766_000_000_88,Piano didattico valido per studenti immatricolati nell'a.a. 2016/17,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8766/000/000/88
2018/2019,8766,Scienze delle attivita' motorie e sportive,A82,PREVENTIVO-ADATTATIVO,000,,Manifesto-2018_8766_000_A82_2018,Piano didattico per studenti immatricolati nell'a.a. 2018/19 - Curriculum Preventivo-Adattativo,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8766/A82/000/2018
2018/2019,8766,Scienze delle attivita' motorie e sportive,A82,PREVENTIVO-ADATTATIVO,000,,Manifesto-2018_8766_000_A82_2017,Piano didattico per studenti immatricolati nell'a.a. 2017/18 - Curriculum Preventivo-Adattativo,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8766/A82/000/2017
2018/2019,8767,Ingegneria elettronica per l'energia e l'informazione,000,,000,,Manifesto-2018_8767_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-2019,Legenda periodi: 1= primo semestre; 2= secondo semestre; A= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8767/000/000/2018
2018/2019,8767,Ingegneria elettronica per l'energia e l'informazione,000,,000,,Manifesto-2018_8767_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-2018,Legenda periodi: 1= primo semestre; 2= secondo semestre; A= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8767/000/000/2017
2018/2019,8767,Ingegneria elettronica per l'energia e l'informazione,000,,000,,Manifesto-2018_8767_000_000_88,Piano didattico per studenti immatricolati nell'a.a. 2016-2017,Legenda periodi: 1= primo semestre; 2= secondo semestre; A= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8767/000/000/88
2018/2019,8769,Aerospace engineering ,000,,000,,Manifesto-2018_8769_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8769/000/000/2018
2018/2019,8769,Aerospace engineering ,000,,000,,Manifesto-2018_8769_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8769/000/000/2017
2018/2019,8770,Ingegneria elettronica e telecomunicazioni per l’energia,000,,000,,Manifesto-2018_8770_000_000_2018,Curriculum Ingegneria Elettronica e Telecomunicazioni per l'Energia: per studenti immatricolati nell'a.a. 2018-2019,Legenda periodi: 1= primo semestre; 2= secondo semestre; A= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8770/000/000/2018
2018/2019,8770,Ingegneria elettronica e telecomunicazioni per l’energia,000,,000,,Manifesto-2018_8770_000_000_2017,Curriculum Ingegneria Elettronica e Telecomunicazioni per l'Energia: per studenti immatricolati nell'a.a. 2017-2018,Legenda periodi: 1= primo semestre; 2= secondo semestre; A= annuale.,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8770/000/000/2017
2018/2019,8770,Ingegneria elettronica e telecomunicazioni per l’energia,A97,CURRICULUM INFORMATION AND COMMUNICATION TECHNOLOGY FOR CLIMATE,000,,Manifesto-2018_8770_000_A97_2018,Curriculum Information and Communication Tecnology for Climate: per studenti immatricolati nell'a.a. 2018-2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8770/A97/000/2018
2018/2019,8770,Ingegneria elettronica e telecomunicazioni per l’energia,A97,CURRICULUM INFORMATION AND COMMUNICATION TECHNOLOGY FOR CLIMATE,000,,Manifesto-2018_8770_000_A97_2017,Curriculum Information and Communication Tecnology for Climate: per studenti immatricolati nell'a.a. 2017-2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8770/A97/000/2017
2018/2019,8771,Ingegneria meccanica,000,,000,,Manifesto-2018_8771_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-2019,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8771/000/000/2018
2018/2019,8771,Ingegneria meccanica,000,,000,,Manifesto-2018_8771_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-2018,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8771/000/000/2017
2018/2019,8772,Culture e tecniche della moda,000,,000,,Manifesto-2018_8772_000_000_2018,Piano didattico per sudenti immatricolati dall'a.a. 2016-17 all'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8772/000/000/2018
2018/2019,8773,Scienze filosofiche,000,,000,,Manifesto-2018_8773_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8773/000/000/2018
2018/2019,8773,Scienze filosofiche,000,,000,,Manifesto-2018_8773_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8773/000/000/2017
2018/2019,8774,Scienze e tecniche psicologiche,000,,000,,Manifesto-2018_8774_000_000_2018,Piano didattico per studenti immatricolati nell'a.a. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8774/000/000/2018
2018/2019,8774,Scienze e tecniche psicologiche,000,,000,,Manifesto-2018_8774_000_000_2017,Piano didattico per studenti immatricolati nell'a.a. 2017-18,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8774/000/000/2017
2018/2019,8774,Scienze e tecniche psicologiche,000,,000,,Manifesto-2018_8774_000_000_88,Piano didattico per studenti iscritti al terzo anno nell'A.A. 2018-19,,http://www.unibo.it/it/didattica/corsi-di-studio/piano-didattico/2018/8774/000/000/88
